description,ibkr-symbol,region,exchange,isin,just-etf,extra-etf
3X LONG US 500,3SYE,IE - Ireland,LSEETF*,XS2472197149,https://www.justetf.com/es/etf-profile.html?isin=XS2472197149,https://extraetf.com/es/etf-profile/XS2472197149
GRANITESHARES 3X SHORT AMZN,3SZN,IE - Ireland,BVME.ETF*,XS2671672900,https://www.justetf.com/es/etf-profile.html?isin=XS2671672900,https://extraetf.com/es/etf-profile/XS2671672900
3X LONG TAIWAN,3TAE,IE - Ireland,LSEETF*,XS2472196687,https://www.justetf.com/es/etf-profile.html?isin=XS2472196687,https://extraetf.com/es/etf-profile/XS2472196687
LEVERAGE SHARES 3X TESLA ETP,3TSE,IE - Ireland,LSEETF*,XS2757381400,https://www.justetf.com/es/etf-profile.html?isin=XS2757381400,https://extraetf.com/es/etf-profile/XS2757381400
WT US TREAS 10Y 3X DLY LVRGD,3TYL,IE - Ireland,BVME.ETF*,IE00BKT09032,https://www.justetf.com/es/etf-profile.html?isin=IE00BKT09032,https://extraetf.com/es/etf-profile/IE00BKT09032
WT US TREAS 10Y 3X DLY SHORT,3TYS,IE - Ireland,BVME.ETF*,IE00BKS8QT65,https://www.justetf.com/es/etf-profile.html?isin=IE00BKS8QT65,https://extraetf.com/es/etf-profile/IE00BKS8QT65
LS 3X UBER,3UBE,IE - Ireland,LSEETF*,XS2337092550,https://www.justetf.com/es/etf-profile.html?isin=XS2337092550,https://extraetf.com/es/etf-profile/XS2337092550
WT BUND 30Y 3X DAILY SHORT,3UBS,IE - Ireland,BVME.ETF*,IE00BF4TW453,https://www.justetf.com/es/etf-profile.html?isin=IE00BF4TW453,https://extraetf.com/es/etf-profile/IE00BF4TW453
WT S&P 500 3X DLY LEVERAGED,3USL,IE - Ireland,BVME.ETF*,IE00B7Y34M31,https://www.justetf.com/es/etf-profile.html?isin=IE00B7Y34M31,https://extraetf.com/es/etf-profile/IE00B7Y34M31
WT S&P 500 3X DAILY SHORT,3USS,IE - Ireland,BVME.ETF*,IE00B8K7KM88,https://www.justetf.com/es/etf-profile.html?isin=IE00B8K7KM88,https://extraetf.com/es/etf-profile/IE00B8K7KM88
LS 3X TOTAL WORLD,3VTE,IE - Ireland,LSEETF*,XS2399364822,https://www.justetf.com/es/etf-profile.html?isin=XS2399364822,https://extraetf.com/es/etf-profile/XS2399364822
WT WHEAT 3X DAILY LEVERAGED,3WHL,JE - Jersey,BVME.ETF*,JE00BYQY8102,https://www.justetf.com/es/etf-profile.html?isin=JE00BYQY8102,https://extraetf.com/es/etf-profile/JE00BYQY8102
LS 3X OIL & GAS,3XEE,IE - Ireland,LSEETF*,XS2399370555,https://www.justetf.com/es/etf-profile.html?isin=XS2399370555,https://extraetf.com/es/etf-profile/XS2399370555
LS 3X FINANCIALS,3XFE,IE - Ireland,LSEETF*,XS2399369540,https://www.justetf.com/es/etf-profile.html?isin=XS2399369540,https://extraetf.com/es/etf-profile/XS2399369540
3X LONG XPENG,3XPV,IE - Ireland,LSEETF*,XS2675718998,https://www.justetf.com/es/etf-profile.html?isin=XS2675718998,https://extraetf.com/es/etf-profile/XS2675718998
SG ETC COFFEE FUTURE,42G1,LU - Luxembourg,IBIS*,DE000ETC0829,https://www.justetf.com/es/etf-profile.html?isin=DE000ETC0829,https://extraetf.com/es/etf-profile/DE000ETC0829
SG ETC UNLEADED GASOLINE FT,42G3,LU - Luxembourg,IBIS*,DE000ETC0852,https://www.justetf.com/es/etf-profile.html?isin=DE000ETC0852,https://extraetf.com/es/etf-profile/DE000ETC0852
