id,user_id,title,description,reserved,web_slug,item_is_shippable,user_allows_shipping,date_last_modified,date_first_created,date_last_scraped,country_code,num_images,refurbished,currency,price_cents
3zl9od24n8zx,8j3m4pwr3269,módulo Wifi BN59-01130A,módulo wifi Samsung BN59-01130A,0,modulo-wifi-bn59-01130a-760002845,1,1,24080400,22022412,24081120,ES,1,0,EUR,400
8z84122y1o63,8j3m4pwr3269,botonera infrarrojos BN41-01858C,botonera e infrarrojos de TV Samsung modelo BN41-01858c,0,botonera-infrarrojos-bn41-01858c-783460870,1,1,24080400,22051712,24081120,ES,2,0,EUR,400
qjwd3elwokzo,8j3m4pwr3269,módulo wifi BN59-01130A,módulo de wifi WIDT10B sacado de una Samsung UE40D6530WS,0,modulo-wifi-samsung-widt10b-724940853,1,1,24080400,21123114,24081120,ES,1,0,EUR,400
x6qygpg1x5jy,ke650kxl20zo,Cintas VHS,listas para grabar,0,cintas-vhs-524780590,1,1,24080408,20072009,24081120,ES,1,0,EUR,400
8j3en0wmqlz9,nz0m0o7q73jo,Mando tv samsung LCD ,"Mando tv LCD SAMSUNG 
compatible con varios modelos de samsung

esta Nuevo 
tengo varias unidades 

ue32b350
ue42b350
ue32b530
ue42b530
ue32b620
ue37b620
ue42b620

recoger 4€

para envios 10€",0,mando-tv-samsung-lcd-930867734,1,1,24080410,23090119,24081120,ES,2,0,EUR,400
36ex7eqvyqzd,9jd7w473mljk,TV CASIO POCKET,modelo TV-470,0,tv-casio-pocket-903087263,1,1,24080207,23052020,24081120,ES,2,0,EUR,400
0j24r7lorvzy,8z8qxq49pdz3,PLACA COMUNICACIONES TV SONY BRAVIA KDL-42W706B,"PLACA COMUNICACIONES TV SONY BRAVIA KDL-42W706B
PROCEDE DE DESGUACE POR ROTURA DE PANTALLA",0,placa-comunicaciones-tv-sony-bravia-kdl-42w706b-985244059,1,1,24080122,24022222,24081120,ES,2,0,EUR,400
mznv9r894g6n,9wzvlv5xlr6l,Radio-televisor,"Aparato de radio y televisión First Line. Funciona a luz. El emisión del televisor no sintoniza nada, pues era de antena analógica, y al no tener TDT, esta inservible, pero sí la radio, con dial numérico y antena. ",0,radio-televisor-763816897,1,1,24080208,22030719,24081120,ES,5,0,EUR,400
pzprvo7ypk63,e65y7e1kdgjo,Mando a distancia universal ,"Para TV con decodificador sin precio digital de 6,00 euros, ambos controles remotos juntos",0,telecomando-universale-953013798,1,1,24080208,23110612,24081120,IT,6,0,EUR,400
nzxy40xdgej2,8ejkd2edg9zx,DVDS de Winnie The Pooh,4 euros cada uno.DVD para niños.,0,dvds-de-winnie-the-pooh-614684478,1,0,24080117,21030909,24081120,ES,2,0,EUR,400
x6q9md3po5zy,8ejkd2edg9zx,Mickey y las Judías Magicas,Para aprender números y letras,0,mickey-y-las-judias-magicas-614682790,1,0,24080117,21030909,24081120,ES,2,0,EUR,400
mzng023ymg6n,v9jd7g8r24jk,Cable jack estereo,"Marca hama y es de un metro y medio
Lo he abierto y no me sirve.
Esta nuevo
",0,cable-jack-estereo-264520801,1,1,24080109,18091315,24081120,ES,2,0,EUR,400
3zl841n7v86x,9nz0mmw3yvjo,Soporte TV Sansumg,"Soporte Tv Samsung para varios modelos de 40 pulgadas a 60 pulgadas.
Le falta el sopote que va a la TV.
Sin uso, guardada siempre, la referéncia está en una foto.",0,soporte-tv-sansumg-964937621,1,1,24073013,23121320,24081120,ES,3,0,EUR,400
3zl8np5q986x,npj9oqx31kje,Gafas 3D,"Gafas para películas 3D, sin estrenar, nuevas, 5 unidades. ",0,gafas-3d-1031655821,1,1,24073022,24072314,24081120,ES,2,0,EUR,400
xzorevmyk4z9,3zl4540q78jx,Mando TV Samsung,"Vendo mando original Samsung en perfecto estado.
",0,televisor-samsung-para-despiece-948781457,1,1,24080516,23102421,24081120,ES,2,0,EUR,400
