name,prefix,alias
Nuestra Señora Del Sagrado Corazón,null,Colegio
Proa,null,Colegio
San Sebastián,null,Colegio
Municipal Pau Casals,null,Instituto
Escuela De Música Y Danza,Escuela De Musica,Instituto
Municipal,"E. DE DANSA ",Instituto
Euterpe,null,Instituto
Municipal,"E. DE DANZA ",Instituto
Picarol,null,Escuela Infantil
Municipal,"E. DE MÚSICA I DANSA ",Instituto
Julián Gayarre,null,Instituto
Gloria Fuertes,null,Colegio
Santo Cristo,null,Instituto
Núria Vilella,null,Instituto
Nuestra Señora de La Antigua,null,Instituto
Santa Isabel,null,Colegio
Pirámide,null,Instituto
Formapractic,null,Instituto
Juan Xxiii,null,Instituto
Plus Ultra,null,Instituto
Basauri,null,Instituto
San Francisco,null,Instituto
Escuela Superior De Arte Dramático,null,Instituto
Municipal,null,Escuela Infantil
Micole,null,Escuela Infantil
Ausiàs March,"CEIP ",Colegio
Chiquitines,null,Escuela Infantil
Nins,null,Escuela Infantil
Los Diminutos,null,Escuela Infantil
Los ángeles,null,Escuela Infantil
La Selva,null,Instituto
CIP,null,Instituto
Arucas,null,Instituto
Pam I Pipa,null,Escuela Infantil
Sierra Pambley,null,Instituto
Mi Primer Cole,null,Escuela Infantil
Goierri,null,Instituto
Montessori,null,Colegio
El Trenet,"CENTRE PRIV. ED. INF. 1er CICLE ",Escuela Infantil
San Isidro,null,Instituto
Érase Una Vez...,null,Escuela Infantil
Mestral,null,Colegio
San Sebastián De La Gomera,null,Instituto
Creanavarra,null,Instituto
Estel,null,Colegio
San Antonio,null,Colegio
Mi Casita,null,Escuela Infantil
El Recreo,null,Escuela Infantil
Usurbil,null,Instituto
Anoia,null,Instituto
Heidi,null,Escuela Infantil
Santa María De Guia,null,Instituto
Jesús-maría,null,Colegio
Ronda,null,Instituto
De Valladolid,null,Instituto
Madre De Dios,null,Colegio
Montserrat Roig,null,Instituto
Eugeni D'ors,null,Instituto
Lanzarote,null,Instituto
Bartolomé Ertzilla,null,Instituto
Fernando Remacha,null,Instituto
Corona De Aragón,null,Instituto
Santa María,null,Instituto
César Manrique,null,Instituto
Miguel Angel Huesca Mariscal,null,Instituto
Errenteria Musikal,null,Instituto
Ayuntamiento De Piélagos,null,Instituto
Camiño De Santiago,null,Instituto
Ponce De León,null,Colegio
Tomás De Torrejón Y Velasco,null,Instituto
Nº 1,null,Instituto
Felipe Vi,null,Instituto
La Merced,null,Instituto
San Isidro,null,Colegio
Infanta Elena,null,Colegio
Ángel Barja,null,Instituto
Bajo Aragón,null,Instituto
San Miguel Arcángel,null,Colegio
Andrés Segovia,null,Instituto
Virgen De Gracia,null,Instituto
Harrobia,null,Instituto
Presentación De María,null,Colegio
Calasancio,null,Colegio
San Buenaventura,null,Colegio
Platero,null,Escuela Infantil
Nuestra Señora De Lourdes,null,Colegio
El Pino,null,Instituto
Hernani,null,Instituto
Jaime Balmes,null,Colegio
Santa María,"CENTRE PRIVAT ",Colegio
Mare Del Diví Pastor,null,Colegio
Sagrats Cors,null,Colegio
La Asunción,null,Colegio
Paula Montal,null,Colegio
Escuelas Pías,null,Colegio
Balmes,null,Colegio
La Anunciata,null,Colegio
María Inmaculada,"CENTRE PRIVAT ",Colegio
Sagrado Corazón,"CENTRE PRIVAT ",Colegio
Virgen Milagrosa,null,Colegio
Gloria Fuertes,null,Escuela Infantil
Alonso Quijano,null,Instituto
Severo Ochoa,null,Colegio
Miguel Hernández,null,Colegio
San Pedro Apóstol,null,Colegio
El Valle,null,Instituto
Telde,null,Instituto
Blas Infante,null,Colegio
Marta Mata,null,Instituto
San Andrés,null,Instituto
Andalucía,null,Colegio
De L'alt Penedès,null,Instituto
Salvador Rueda,null,Colegio
Ingenio,null,Instituto
Liceo La Paz,null,Colegio
San Lorenzo,null,Colegio
Decroly,null,Instituto
Salvador Espriu,null,Instituto
Fuente Nueva,null,Instituto
Eduardo Pondal,null,Instituto
Los Molinos,null,Instituto
Almazán,null,Instituto
Almázcara,null,Instituto
Ferrolterra,null,Instituto
Politécnico De Lugo,null,Instituto
Las Indias,null,Instituto
Armeria Eskola,null,Instituto
Pau Casesnoves,null,Instituto
Mendizabala,null,Instituto
Centre Integrat De Formació Professional Centre De La Mar,null,Instituto
Meka,null,Instituto
Santa Bárbara,null,Colegio
Viñalta,null,Instituto
Paseo Das Pontes,null,Instituto
Bidebieta,null,Instituto
Centre Integrat De L'esport,null,Instituto
Reina Victoria Eugenia,null,Instituto
Hespérides,null,Instituto
Misericòrdia,"CIPFP ",Instituto
Construccion/eraikuntza,null,Instituto
A Carballeira-marcos Valcárcel,null,Instituto
Rio Tormes,null,Instituto
García Lorca,null,Instituto
Centro Integrado Superior De Energias Renovables De Imarcoain,null,Instituto
De San Blas,null,Instituto
De Movera,null,Instituto
Centro Integrado De F.p. De Los Sectores Industrial Y De Servicios,null,Instituto
